road_distance_meters,euclid_distance_meters,detour_ratio,spot_to_dest_distance_meters,road_eta_seconds,leaver_countdown_seconds,abs_eta_countdown_diff,signed_time_slack,hour_of_day,day_of_week,is_rush_hour,is_weekend,current_speed_kmh,heading_bearing_diff_deg,heading_dest_diff_deg,gps_accuracy_meters,ping_staleness_seconds,driver_reliability_rating,historical_acceptance_rate,historical_completion_rate,historical_cancellation_rate,lifetime_matches_count,spot_type_enum,vehicle_size_compatibility,has_landmark_note,landmark_note_length,match_success
379.7,352.8,1.076,46.5,171.5,240.0,68.5,-68.5,18,2,1,0,9.1,47.2,23.8,5.06,3.73,4.15,0.807,0.801,0.076,17,1,2,0,0,1
641.4,571.1,1.123,410.3,93.4,300.0,206.6,-206.6,15,2,0,0,41.6,13.3,15.8,12.23,4.92,4.64,0.967,0.945,0.043,9,2,1,1,28,0
763.1,467.0,1.634,289.7,293.7,240.0,53.7,53.7,9,1,1,0,10.5,20.0,28.1,9.57,2.39,4.62,0.921,0.94,0.046,10,0,2,0,0,0
1152.9,847.3,1.361,352.2,312.3,180.0,132.3,132.3,8,4,1,0,14.6,25.6,36.0,3.48,1.66,4.88,0.882,0.93,0.027,7,0,2,1,28,0
1647.1,1226.6,1.343,403.9,209.0,180.0,29.0,29.0,20,0,0,0,30.1,18.8,12.9,6.89,3.47,4.88,0.909,0.956,0.033,57,0,2,0,0,1
439.7,431.0,1.02,99.2,94.6,180.0,85.4,-85.4,10,1,0,0,22.3,28.8,18.3,2.24,0.5,4.63,0.972,0.937,0.033,62,0,1,1,28,1
1312.6,1174.5,1.118,145.4,282.4,240.0,42.4,42.4,17,4,1,0,17.4,16.7,21.1,4.88,4.85,4.97,0.926,0.965,0.04,11,0,1,0,0,1
1007.5,766.8,1.314,177.2,158.2,120.0,38.2,38.2,18,6,0,1,29.6,86.2,46.7,16.71,1.81,3.92,0.657,0.863,0.112,30,0,1,0,0,0
942.9,603.4,1.563,299.2,140.4,180.0,39.6,-39.6,10,0,0,0,33.3,0.4,9.1,6.44,23.62,4.1,0.796,0.786,0.058,3,0,1,0,0,0
436.0,375.5,1.161,95.9,139.8,300.0,160.2,-160.2,17,4,1,0,13.1,46.0,25.5,4.86,1.54,4.6,0.68,0.8,0.082,2,0,1,1,28,1
247.8,162.3,1.527,302.5,58.2,180.0,121.8,-121.8,18,6,0,1,34.7,19.1,15.6,1.93,11.5,4.31,0.843,0.763,0.104,6,0,1,1,28,1
1292.9,1267.5,1.02,37.7,256.1,180.0,76.1,76.1,18,2,1,0,20.1,19.0,38.6,5.9,0.89,4.75,0.913,0.977,0.014,40,0,1,1,28,0
831.2,814.9,1.02,51.8,117.5,240.0,122.5,-122.5,20,5,0,1,35.4,40.2,19.2,3.36,2.48,3.27,0.723,0.622,0.358,21,0,1,1,28,1
545.2,263.2,2.071,365.8,174.3,240.0,65.7,-65.7,8,4,1,0,14.0,10.5,31.9,14.89,16.46,4.68,0.899,0.983,0.039,1,1,2,1,28,1
1796.5,981.5,1.83,336.8,419.4,180.0,239.4,239.4,20,3,0,0,16.9,59.2,32.7,20.36,3.02,4.12,0.74,0.83,0.057,6,0,1,1,28,0
289.2,280.2,1.032,333.3,80.0,240.0,160.0,-160.0,10,5,0,1,21.8,62.5,45.3,4.9,15.75,4.54,0.675,0.877,0.063,12,1,1,0,0,0
1372.9,1346.0,1.02,353.9,235.8,180.0,55.8,55.8,16,2,0,0,23.2,88.5,22.2,2.22,6.53,4.03,0.817,0.839,0.06,62,1,1,0,0,1
2944.1,1380.0,2.133,124.3,322.7,180.0,142.7,142.7,12,2,0,0,35.2,13.7,22.8,5.07,0.02,4.73,0.902,0.948,0.047,10,0,1,1,28,0
886.7,846.4,1.048,45.4,129.6,300.0,170.4,-170.4,12,4,0,0,35.2,12.8,8.4,3.09,20.19,4.8,0.927,0.906,0.04,5,2,1,0,0,1
621.2,609.0,1.02,38.3,85.3,180.0,94.7,-94.7,21,1,0,0,32.0,3.7,23.0,3.97,1.84,4.61,0.87,0.964,0.036,0,0,1,0,0,1
2283.6,1385.1,1.649,376.5,279.2,240.0,39.2,39.2,18,6,0,1,34.2,0.7,23.5,3.62,15.87,4.56,0.678,0.881,0.114,30,2,1,1,28,0
490.8,369.8,1.327,316.9,126.9,180.0,53.1,-53.1,12,5,0,1,20.2,13.3,44.7,6.18,14.93,4.43,0.743,0.783,0.115,13,0,1,1,28,1
1588.3,1175.3,1.351,193.5,248.9,180.0,68.9,68.9,12,1,0,0,25.9,24.9,4.7,8.97,1.9,4.14,0.769,0.757,0.067,33,0,1,1,28,0
263.4,258.2,1.02,223.1,59.2,180.0,120.8,-120.8,12,1,0,0,28.8,69.9,16.1,5.59,10.87,3.17,0.825,0.595,0.369,10,0,1,1,28,0
1101.9,795.3,1.385,268.5,144.1,180.0,35.9,-35.9,16,0,0,0,36.1,25.3,40.8,12.01,1.01,4.8,0.879,0.989,0.048,1,1,1,1,28,1
256.8,152.4,1.684,248.5,214.2,240.0,25.8,-25.8,17,6,0,1,5.0,15.4,22.1,14.27,16.15,4.28,0.751,0.811,0.107,40,0,2,1,28,1
901.0,778.2,1.158,47.7,98.0,120.0,22.0,-22.0,16,1,0,0,44.1,92.2,6.9,8.03,14.3,4.18,0.82,0.786,0.061,10,0,1,0,0,0
1299.4,856.9,1.516,366.3,289.7,240.0,49.7,49.7,17,1,1,0,18.7,14.2,33.6,6.89,6.37,4.69,0.958,0.911,0.012,12,0,2,1,28,1
1175.0,1080.9,1.087,370.0,156.3,180.0,23.7,-23.7,16,0,0,0,34.7,9.4,55.2,4.19,3.15,4.83,0.862,0.979,0.021,3,2,2,1,28,1
850.4,734.6,1.158,327.5,130.5,180.0,49.5,-49.5,21,5,0,1,32.2,61.8,37.9,3.71,14.57,4.41,0.78,0.79,0.138,39,1,2,1,28,1
1467.6,1230.8,1.192,357.5,276.2,180.0,96.2,96.2,12,3,0,0,21.7,72.9,19.0,5.19,2.48,3.01,0.757,0.623,0.496,24,0,1,1,28,0
286.3,215.3,1.33,348.5,42.3,240.0,197.7,-197.7,21,3,0,0,34.1,97.6,5.5,3.29,3.05,3.38,0.824,0.509,0.474,90,2,1,1,28,0
2208.4,1326.5,1.665,215.8,412.5,180.0,232.5,232.5,13,1,0,0,20.2,54.3,7.4,9.31,0.49,4.58,0.872,0.755,0.123,60,2,2,1,28,0
715.5,566.5,1.263,232.2,224.7,120.0,104.7,104.7,19,2,1,0,13.9,50.4,52.0,5.77,5.16,4.56,0.825,0.844,0.063,0,2,2,1,28,1
1170.6,859.1,1.362,73.2,156.9,240.0,83.1,-83.1,18,6,0,1,29.6,30.7,25.7,5.21,12.87,4.89,0.935,0.968,0.048,59,1,1,1,28,1
550.6,510.9,1.078,51.8,85.8,180.0,94.2,-94.2,10,0,0,0,30.4,7.0,30.4,5.58,4.09,4.92,0.876,0.915,0.014,25,1,2,0,0,1
1052.3,719.4,1.463,342.6,145.0,240.0,95.0,-95.0,18,5,0,1,32.3,43.0,40.6,14.85,0.63,4.19,0.817,0.839,0.115,16,1,1,0,0,1
1805.1,1395.2,1.294,46.8,224.3,240.0,15.7,-15.7,8,5,0,1,31.2,11.0,40.7,7.57,1.04,4.79,0.963,0.965,0.04,13,0,2,1,28,1
931.4,636.7,1.463,236.8,424.3,240.0,184.3,184.3,8,3,1,0,8.7,78.7,19.4,2.75,4.62,3.14,0.843,0.682,0.336,6,2,2,0,0,0
779.0,492.0,1.583,276.9,169.8,120.0,49.8,49.8,10,1,0,0,17.6,79.3,2.3,15.12,0.95,4.01,0.853,0.816,0.083,14,1,1,0,0,0
889.7,669.2,1.329,37.3,154.9,240.0,85.1,-85.1,18,4,1,0,24.9,48.7,32.6,4.99,10.82,3.96,0.67,0.765,0.108,29,0,1,1,28,0
350.5,269.5,1.301,393.1,55.3,120.0,64.7,-64.7,12,3,0,0,31.2,19.8,29.2,3.88,0.94,4.99,0.883,0.96,0.049,11,0,2,0,0,1
660.1,599.9,1.1,365.1,219.9,180.0,39.9,39.9,7,0,1,0,12.5,43.7,21.1,8.1,5.34,4.31,0.82,0.882,0.09,9,1,2,1,28,1
1259.9,823.7,1.53,371.8,855.7,240.0,615.7,615.7,11,6,0,1,5.5,2.0,27.6,16.8,3.1,3.95,0.798,0.864,0.1,19,2,2,1,28,0
1637.4,1341.3,1.221,81.2,211.6,240.0,28.4,-28.4,22,6,0,1,33.9,33.6,10.5,5.59,8.89,4.08,0.835,0.831,0.081,23,1,1,0,0,1
404.9,324.5,1.248,353.4,51.0,180.0,129.0,-129.0,21,6,0,1,38.0,43.8,30.6,12.56,5.44,4.37,0.768,0.839,0.129,26,0,2,1,28,1
1335.1,1092.0,1.223,145.3,271.3,240.0,31.3,31.3,10,3,0,0,18.7,77.6,38.8,5.3,9.47,4.08,0.703,0.781,0.114,7,1,1,0,0,1
340.3,249.5,1.364,128.2,77.0,240.0,163.0,-163.0,13,0,0,0,24.7,46.7,26.6,5.87,7.86,3.21,0.765,0.545,0.371,1,0,2,0,0,0
2054.3,1392.3,1.476,309.3,426.2,180.0,246.2,246.2,19,1,1,0,18.8,30.9,3.9,6.44,11.06,3.96,0.809,0.78,0.104,2,0,1,1,28,0
306.2,202.7,1.511,147.5,109.2,180.0,70.8,-70.8,10,3,0,0,15.0,48.1,17.0,22.65,0.23,3.91,0.702,0.801,0.088,10,0,2,1,28,1
274.8,233.6,1.176,85.7,60.1,180.0,119.9,-119.9,11,3,0,0,41.7,69.4,20.5,8.07,1.27,3.09,0.781,0.535,0.439,10,2,2,1,28,0
1217.2,959.5,1.269,192.3,250.1,300.0,49.9,-49.9,10,2,0,0,19.5,56.2,29.2,6.39,11.4,4.64,0.852,0.792,0.135,0,0,1,1,28,1
722.1,648.0,1.114,304.7,150.2,240.0,89.8,-89.8,8,4,1,0,19.3,22.5,7.6,15.01,0.91,4.69,0.879,0.916,0.036,47,1,1,1,28,1
433.3,256.6,1.689,239.7,87.1,300.0,212.9,-212.9,19,5,0,1,26.2,7.1,18.1,9.32,1.37,4.93,0.932,0.918,0.013,1,0,1,0,0,1
1075.4,890.6,1.208,403.5,134.8,240.0,105.2,-105.2,10,3,0,0,40.3,76.3,23.0,7.37,8.07,4.64,0.708,0.867,0.133,17,0,1,1,28,1
229.1,191.9,1.194,38.8,38.0,240.0,202.0,-202.0,7,6,0,1,31.8,8.6,13.6,13.5,1.51,4.91,0.936,0.917,0.017,2,1,1,1,28,1
660.2,424.1,1.557,187.9,100.3,120.0,19.7,-19.7,21,1,0,0,29.5,14.4,39.6,3.19,2.33,4.97,0.918,0.955,0.016,1,0,1,1,28,1
1275.8,1250.7,1.02,48.1,151.8,120.0,31.8,31.8,20,3,0,0,39.1,13.7,23.7,7.89,2.16,4.94,0.945,0.97,0.036,4,0,2,1,28,1
918.0,531.9,1.726,146.7,164.3,180.0,15.7,-15.7,8,6,0,1,25.0,8.1,22.0,7.71,0.34,4.83,0.964,0.939,0.016,20,1,2,1,28,1
535.4,328.2,1.631,203.3,150.7,240.0,89.3,-89.3,16,4,0,0,15.5,16.0,43.9,3.09,1.28,4.59,0.879,0.805,0.095,32,2,1,1,28,1
1271.7,1034.9,1.229,376.6,293.6,240.0,53.6,53.6,7,6,0,1,17.4,44.6,30.5,4.3,3.23,3.82,0.724,0.845,0.065,29,1,1,1,28,1
1159.9,869.7,1.334,40.2,139.4,120.0,19.4,19.4,13,0,0,0,35.8,24.8,36.6,9.34,1.85,4.94,0.9,0.951,0.034,5,0,1,0,0,1
422.4,377.7,1.118,417.5,328.5,120.0,208.5,208.5,9,4,1,0,5.0,84.3,24.7,6.26,8.99,4.61,0.859,0.867,0.051,1,0,1,0,0,0
1385.2,1276.3,1.085,39.2,272.9,180.0,92.9,92.9,20,5,0,1,20.8,26.9,26.3,5.62,2.34,4.61,0.858,0.982,0.016,19,0,2,0,0,1
1074.3,1044.7,1.028,391.3,135.4,180.0,44.6,-44.6,16,1,0,0,35.7,18.7,27.3,6.52,1.51,4.65,0.87,0.92,0.02,47,0,1,1,28,1
899.0,645.8,1.392,346.7,169.4,180.0,10.6,-10.6,8,5,0,1,21.2,117.1,31.9,5.66,11.53,4.12,0.875,0.869,0.1,10,2,2,1,28,1
984.9,809.3,1.217,146.1,255.3,240.0,15.3,15.3,15,1,0,0,15.0,70.3,4.3,4.95,2.1,4.16,0.671,0.816,0.07,5,0,2,1,28,1
598.2,498.1,1.201,296.6,98.5,240.0,141.5,-141.5,16,3,0,0,26.0,70.4,21.2,10.28,13.18,3.88,0.853,0.871,0.101,85,0,1,1,28,1
485.9,356.9,1.362,77.4,126.9,120.0,6.9,6.9,9,0,1,0,16.4,76.9,18.1,5.75,19.87,4.61,0.8,0.797,0.075,42,2,1,1,28,1
958.3,939.5,1.02,300.0,116.5,180.0,63.5,-63.5,15,2,0,0,42.4,74.1,54.1,6.57,12.23,4.09,0.808,0.76,0.067,48,0,1,1,28,1
1816.1,1318.6,1.377,76.5,507.2,180.0,327.2,327.2,9,0,1,0,13.8,20.8,23.6,10.69,3.89,4.3,0.676,0.817,0.096,49,0,2,1,28,0
1951.6,1364.1,1.431,149.2,216.0,120.0,96.0,96.0,12,6,0,1,38.8,61.4,11.7,7.32,13.79,4.37,0.753,0.783,0.062,1,0,1,0,0,0
1085.3,863.1,1.257,378.3,246.1,240.0,6.1,6.1,10,3,0,0,18.4,46.7,40.0,4.94,6.78,4.27,0.665,0.875,0.11,3,0,1,1,28,1
634.5,529.9,1.197,143.0,124.8,180.0,55.2,-55.2,12,3,0,0,26.4,26.5,21.8,5.62,3.95,4.65,0.88,0.971,0.049,7,0,2,1,28,1
454.3,445.4,1.02,153.3,84.4,120.0,35.6,-35.6,18,5,0,1,29.2,7.8,35.1,4.29,0.02,4.6,0.878,0.903,0.014,10,1,1,1,28,1
2317.5,1234.0,1.878,30.7,819.6,180.0,639.6,639.6,7,4,1,0,10.7,37.0,27.2,4.34,1.92,4.17,0.859,0.857,0.111,9,1,2,1,28,0
598.4,586.7,1.02,413.6,108.1,240.0,131.9,-131.9,21,3,0,0,22.8,27.2,29.3,4.86,0.29,4.74,0.972,0.96,0.037,11,0,1,0,0,1
1993.6,1388.5,1.436,257.9,209.2,180.0,29.2,29.2,11,1,0,0,39.2,30.7,40.8,6.26,21.51,3.99,0.757,0.873,0.057,12,2,1,1,28,1
256.0,210.5,1.216,280.3,84.8,180.0,95.2,-95.2,9,3,1,0,14.6,108.9,26.7,28.88,9.08,4.49,0.868,0.801,0.102,11,0,2,1,28,1
492.7,381.6,1.291,229.1,66.0,180.0,114.0,-114.0,21,3,0,0,34.2,56.0,24.8,6.04,1.87,3.43,0.763,0.529,0.398,3,1,1,1,28,0
840.5,588.9,1.427,264.2,531.9,300.0,231.9,231.9,19,2,1,0,5.8,28.9,2.4,20.55,6.28,4.78,0.889,0.923,0.018,1,0,2,0,0,0
1192.9,1112.8,1.072,46.0,125.5,240.0,114.5,-114.5,19,6,0,1,40.6,13.5,49.4,14.44,0.56,4.94,0.942,0.982,0.015,22,0,1,1,28,1
1426.8,1332.8,1.071,216.3,202.2,120.0,82.2,82.2,15,5,0,1,30.3,7.4,50.4,6.35,2.59,3.62,0.788,0.621,0.484,11,1,1,1,28,0
953.8,659.7,1.446,314.3,715.5,120.0,595.5,595.5,22,6,0,1,5.0,128.5,37.8,5.73,10.47,4.07,0.733,0.871,0.078,5,2,2,0,0,0
116.5,87.5,1.331,72.4,44.3,240.0,195.7,-195.7,10,0,0,0,31.5,13.2,36.9,3.7,1.15,4.87,0.853,0.928,0.032,24,0,1,1,28,1
179.8,176.2,1.02,302.1,45.9,240.0,194.1,-194.1,16,3,0,0,22.4,22.0,27.8,4.41,1.82,4.96,0.892,0.943,0.019,25,2,1,1,28,1
1569.4,1165.7,1.346,146.0,154.9,180.0,25.1,-25.1,10,1,0,0,43.7,73.7,27.3,4.8,10.25,3.92,0.795,0.758,0.125,9,0,1,1,28,0
1624.5,1308.8,1.241,384.6,212.6,300.0,87.4,-87.4,12,4,0,0,31.5,16.7,31.2,12.0,10.03,4.77,0.899,0.984,0.037,3,0,2,1,28,1
1388.0,1335.0,1.04,204.9,259.4,300.0,40.6,-40.6,19,4,1,0,20.3,81.6,29.5,12.89,16.13,4.25,0.75,0.819,0.071,11,0,2,0,0,1
1661.5,1131.0,1.469,131.6,338.3,240.0,98.3,98.3,12,2,0,0,18.4,47.8,26.2,5.37,3.03,3.88,0.66,0.85,0.132,38,0,1,0,0,1
133.1,93.1,1.43,37.4,50.5,180.0,129.5,-129.5,21,5,0,1,19.2,21.4,13.9,12.33,5.19,4.27,0.874,0.769,0.052,36,1,1,0,0,1
1506.3,955.2,1.577,312.1,296.7,180.0,116.7,116.7,15,5,0,1,20.4,70.2,25.4,7.43,1.2,3.99,0.685,0.885,0.121,69,1,1,1,28,1
632.9,562.7,1.125,227.4,176.8,300.0,123.2,-123.2,8,2,1,0,14.0,25.3,34.3,9.21,0.56,4.92,0.933,0.935,0.037,7,0,1,1,28,1
141.6,138.8,1.02,407.0,72.7,180.0,107.3,-107.3,8,4,1,0,12.8,18.6,31.0,6.08,3.39,4.97,0.949,0.949,0.017,15,0,1,1,28,0
346.7,339.9,1.02,97.9,59.2,180.0,120.8,-120.8,17,6,0,1,34.6,34.9,22.1,7.33,13.9,3.21,0.859,0.682,0.489,80,0,2,1,28,1
1485.1,1087.9,1.365,405.7,166.9,240.0,73.1,-73.1,17,6,0,1,40.5,40.8,34.2,13.31,5.72,3.05,0.862,0.536,0.403,41,0,1,0,0,0
159.3,156.2,1.02,315.4,68.4,120.0,51.6,-51.6,9,3,1,0,14.4,0.3,3.1,15.64,8.14,4.95,0.977,0.902,0.044,34,0,1,1,28,1
413.1,269.8,1.531,399.4,87.6,180.0,92.4,-92.4,11,2,0,0,28.5,109.7,23.7,4.71,18.14,3.98,0.709,0.794,0.109,0,1,1,1,28,0
1192.1,1168.7,1.02,213.7,112.4,240.0,127.6,-127.6,10,1,0,0,42.5,17.9,10.5,5.96,2.77,4.81,0.927,0.906,0.024,32,0,1,0,0,1
782.4,479.9,1.63,100.3,174.0,240.0,66.0,-66.0,21,0,0,0,20.2,11.3,46.0,3.02,5.75,4.99,0.948,0.935,0.034,27,0,2,1,28,1
1215.3,914.5,1.329,43.0,258.9,180.0,78.9,78.9,12,0,0,0,19.4,30.3,8.3,9.12,2.08,3.17,0.736,0.52,0.461,3,0,1,1,28,1
1356.8,1330.2,1.02,259.5,271.8,240.0,31.8,31.8,21,0,0,0,19.0,58.9,25.6,10.77,0.09,4.56,0.653,0.856,0.147,14,0,2,1,28,1
260.7,253.9,1.027,158.8,83.4,180.0,96.6,-96.6,22,5,0,1,19.9,23.5,2.3,9.52,3.43,4.83,0.958,0.982,0.01,28,0,1,1,28,1
672.0,549.7,1.222,34.8,131.7,240.0,108.3,-108.3,18,5,0,1,23.9,16.3,24.4,6.5,4.63,4.65,0.952,0.971,0.034,116,0,2,1,28,1
1030.2,1010.0,1.02,281.6,201.1,180.0,21.1,21.1,11,3,0,0,20.7,31.0,43.7,4.31,8.97,4.39,0.873,0.841,0.058,1,2,1,0,0,1
1028.5,674.9,1.524,257.6,145.4,180.0,34.6,-34.6,12,2,0,0,31.0,88.1,46.9,3.42,9.79,3.81,0.828,0.844,0.087,1,1,2,1,28,0
1697.6,1254.9,1.353,62.4,210.7,240.0,29.3,-29.3,16,1,0,0,33.0,17.1,35.5,2.18,4.22,4.68,0.935,0.974,0.012,60,0,1,1,28,1
632.0,519.6,1.216,393.4,137.5,180.0,42.5,-42.5,7,2,1,0,20.2,22.3,21.4,4.22,2.52,4.7,0.978,0.926,0.041,13,0,1,1,28,1
1432.3,1114.9,1.285,77.0,1064.8,180.0,884.8,884.8,14,3,0,0,5.0,4.7,26.3,8.57,1.83,4.79,0.854,0.919,0.021,31,0,2,1,28,0
237.0,225.8,1.05,425.3,87.2,240.0,152.8,-152.8,13,2,0,0,12.2,104.0,7.1,13.15,1.53,4.55,0.832,0.796,0.141,76,0,1,1,28,1
1441.5,1213.6,1.188,38.0,141.4,240.0,98.6,-98.6,12,4,0,0,45.9,76.6,6.1,3.55,11.44,3.91,0.688,0.75,0.122,32,0,1,0,0,1
327.6,300.3,1.091,322.6,116.3,180.0,63.7,-63.7,8,0,1,0,12.3,18.6,23.5,14.84,3.98,4.76,0.948,0.918,0.023,19,0,2,0,0,1
1448.8,976.1,1.484,149.9,183.2,120.0,63.2,63.2,7,6,0,1,35.4,106.7,45.0,3.61,13.02,4.59,0.818,0.855,0.125,15,2,1,0,0,0
766.8,591.9,1.295,185.2,127.6,180.0,52.4,-52.4,19,6,0,1,27.2,22.5,38.5,4.48,5.7,4.77,0.98,0.95,0.023,6,0,1,1,28,1
1974.9,1191.9,1.657,194.1,172.8,180.0,7.2,-7.2,22,2,0,0,44.5,11.4,34.6,1.93,11.08,4.41,0.824,0.752,0.071,31,0,1,1,28,1
933.1,914.8,1.02,375.2,209.2,240.0,30.8,-30.8,22,1,0,0,18.9,20.7,15.1,3.77,0.97,3.99,0.748,0.886,0.101,5,0,1,1,28,1
774.4,508.4,1.523,43.1,227.3,300.0,72.7,-72.7,21,2,0,0,14.2,32.8,30.2,8.74,3.8,4.53,0.829,0.864,0.069,2,1,1,1,28,1
773.9,758.7,1.02,269.9,138.8,180.0,41.2,-41.2,22,5,0,1,25.6,28.1,27.6,7.67,4.29,4.99,0.957,0.981,0.047,40,1,1,0,0,1
624.3,492.9,1.267,347.8,394.9,240.0,154.9,154.9,17,4,1,0,5.8,58.8,12.7,9.54,0.14,4.55,0.792,0.835,0.112,49,0,2,1,28,0
995.0,570.4,1.745,295.3,103.4,240.0,136.6,-136.6,22,2,0,0,45.2,25.8,27.7,5.51,2.16,4.98,0.916,0.985,0.043,11,2,2,0,0,1
812.9,626.3,1.298,299.9,212.7,240.0,27.3,-27.3,12,2,0,0,16.8,138.3,18.7,7.38,10.19,4.21,0.808,0.887,0.114,76,2,2,1,28,1
258.6,191.6,1.35,438.8,60.2,120.0,59.8,-59.8,12,3,0,0,39.3,17.1,17.3,3.03,7.6,4.68,0.946,0.926,0.042,147,0,1,1,28,1
237.4,192.3,1.235,167.0,79.1,240.0,160.9,-160.9,7,0,1,0,13.6,53.8,17.7,5.97,0.37,3.18,0.729,0.695,0.452,85,0,2,0,0,0
428.3,357.9,1.197,64.6,121.1,240.0,118.9,-118.9,7,3,1,0,15.3,17.7,38.7,6.54,2.9,4.92,0.868,0.952,0.03,3,1,1,0,0,1
964.1,838.1,1.15,391.1,119.9,180.0,60.1,-60.1,11,1,0,0,41.3,83.9,17.1,8.41,25.0,4.13,0.695,0.823,0.124,16,0,1,1,28,0
1182.8,1159.6,1.02,409.3,115.4,300.0,184.6,-184.6,22,5,0,1,47.3,62.6,48.4,5.65,9.43,3.82,0.756,0.526,0.471,4,2,1,1,28,0
2430.7,1260.1,1.929,153.5,233.7,180.0,53.7,53.7,12,5,0,1,42.4,29.3,35.5,22.78,4.88,3.69,0.82,0.511,0.375,6,0,1,1,28,0
1341.2,1007.3,1.332,81.8,135.8,120.0,15.8,15.8,19,6,0,1,43.7,81.3,35.8,8.25,14.07,4.41,0.825,0.757,0.115,6,1,2,1,28,1
788.9,672.7,1.173,192.7,145.1,180.0,34.9,-34.9,12,6,0,1,24.3,17.6,48.0,3.86,5.66,4.76,0.948,0.911,0.041,6,1,2,1,28,1
617.4,467.8,1.32,175.7,170.4,180.0,9.6,-9.6,9,2,1,0,15.6,11.8,15.0,3.12,3.38,4.84,0.916,0.932,0.047,10,0,1,1,28,1
1216.3,794.1,1.532,104.4,558.3,120.0,438.3,438.3,18,0,1,0,8.1,52.4,22.1,10.48,1.46,3.49,0.883,0.538,0.301,1,2,1,1,28,0
2153.3,1247.7,1.726,212.2,205.6,180.0,25.6,25.6,11,3,0,0,41.4,6.1,26.8,4.82,1.97,4.93,0.866,0.966,0.031,8,0,1,0,0,1
1374.4,1309.7,1.049,58.2,446.2,240.0,206.2,206.2,17,3,1,0,11.9,70.4,31.4,5.82,0.04,4.54,0.834,0.766,0.108,15,0,1,1,28,0
1598.0,820.9,1.947,406.3,260.3,240.0,20.3,20.3,13,1,0,0,25.4,6.6,7.2,4.59,10.33,4.0,0.878,0.836,0.064,29,2,1,1,28,0
428.9,321.1,1.336,290.1,106.4,300.0,193.6,-193.6,22,5,0,1,21.0,23.4,14.2,4.15,0.06,4.41,0.668,0.813,0.11,69,0,1,0,0,1
1031.5,935.7,1.102,263.7,191.1,120.0,71.1,71.1,21,2,0,0,24.3,23.2,26.5,6.2,8.03,4.67,0.752,0.863,0.103,19,0,1,0,0,1
